"","airport1","airport2","airline","cnt"
"232","ORD","BDL","UA",78
"233","DCA","IAH","UA",77.9166666666667
"234","DFW","IAH","UA",77.25
"235","DEN","RNO","UA",76.1666666666667
"236","ORD","MCI","UA",76.1666666666667
"237","RNO","DEN","UA",76.0833333333333
"238","MSY","ORD","UA",75
"239","SMF","ORD","UA",74.8333333333333
"240","DEN","TPA","UA",74.75
"241","ORD","SMF","UA",74.75
"242","TPA","DEN","UA",74.5833333333333
"243","LAX","OGG","UA",73.6666666666667
"244","OGG","LAX","UA",73.6666666666667
"245","AUS","IAD","UA",73.3333333333333
"246","BSM","IAD","UA",73.3333333333333
"247","IAH","PDX","UA",71.8333333333333
"248","PDX","IAH","UA",71.5833333333333
"249","ALB","ORD","UA",71.1666666666667
"250","ORD","ALB","UA",71.1666666666667
"251","PHL","IAH","UA",70.25
"252","IAH","PHL","UA",70.1666666666667
"253","ORD","RDU","UA",69.75
"254","MCI","ORD","UA",69.0833333333333
"255","DEN","PHL","UA",68.6666666666667
"256","OMA","ORD","UA",68.6666666666667
"257","PHL","DEN","UA",68.6666666666667
"258","LAS","IAD","UA",68.5833333333333
"259","IAD","LAS","UA",68.5
"260","PIT","DEN","UA",68.3333333333333
"261","DEN","PIT","UA",68.25
"262","ORD","ROC","UA",68.25
"263","ROC","ORD","UA",68.1666666666667
"264","MCI","DEN","UA",67.5833333333333
"265","ORD","MIA","UA",67.5833333333333
"266","DEN","OMA","UA",67.3333333333333
"267","MIA","ORD","UA",67.3333333333333
"268","IAH","DFW","UA",67.1666666666667
"269","MSY","DEN","UA",66.5833333333333
"270","RDU","IAD","UA",66.5
"271","CLE","IAH","UA",66.3333333333333
"272","IAD","RDU","UA",66.25
"273","IAH","SMF","UA",65.75
"274","SMF","IAH","UA",65.6666666666667
"275","LAX","BOS","UA",64.8333333333333
"276","BOS","LAX","UA",64.5
"277","DEN","JAC","UA",63.25
"278","JAC","DEN","UA",63.25
"279","HIK","DEN","UA",63
"280","HNL","DEN","UA",63
"281","BDL","IAD","UA",62.0833333333333
"282","ORD","CMH","UA",62.0833333333333
"283","IAD","BDL","UA",62
"284","HIK","GUM","UA",61
"285","HNL","GUM","UA",61
"286","HIK","EWR","UA",60.8333333333333
"287","HIK","IAH","UA",60.8333333333333
"288","HIK","ORD","UA",60.8333333333333
"289","HNL","EWR","UA",60.8333333333333
"290","HNL","IAH","UA",60.8333333333333
"291","HNL","ORD","UA",60.8333333333333
"292","RDU","ORD","UA",60.75
"293","RDU","DEN","UA",60.5
"294","DEN","RDU","UA",60.3333333333333
"295","DEN","BOI","UA",60.0833333333333
"296","BOI","DEN","UA",60
"297","DEN","MCI","UA",59.6666666666667
"298","IAH","RSW","UA",58.9166666666667
"299","RSW","IAH","UA",58.9166666666667
"300","BZN","DEN","UA",58.8333333333333
"301","DEN","ATL","UA",58.8333333333333
"302","DEN","BZN","UA",58.8333333333333
"303","BWI","IAH","UA",58.6666666666667
"304","DEN","GEG","UA",58.6666666666667
"305","IAH","BWI","UA",58.6666666666667
"306","GEG","DEN","UA",58.5833333333333
"307","DEN","BIL","UA",58.0833333333333
"308","BIL","DEN","UA",58
"309","MSN","DEN","UA",57.8333333333333
"310","DEN","MSN","UA",57.75
"311","LIH","SFO","UA",57.6666666666667
"312","SFO","LIH","UA",57.6666666666667
"313","EWR","CLE","UA",57.5833333333333
"314","ORD","PWM","UA",57.4
"315","PWM","ORD","UA",57.4
"316","DEN","CID","UA",57
"317","FLL","IAD","UA",57
"318","ATL","IAD","UA",56.9166666666667
